GCVI,GPP_mean (gC m-2 d-1)
2.107951135,4.052826087
1.967205598,3.935
3.383140331,4.030217391
2.248613805,4.024565217
1.516897557,3.844347826
1.353307122,3.510434783
0.558085992,4.25326087
1.743580676,0.028913043
1.517518478,3.255217391
2.480049154,4.394347826
1.989840696,5.162391304
1.347214656,3.549130435
2.103395708,3.983913043
1.974518466,6.139565217
1.816246286,4.973913043
1.730102662,3.863043478
1.766252092,3.835652174
2.012442674,3.855652174
3.115618756,4.521086957
1.656286151,4.498695652
1.709209508,3.948043478
1.777042254,2.750869565
2.235174529,3.898478261
1.95405051,5.117608696
2.847334919,4.699130435
2.585859286,5.074347826
2.81657111,4.384782609
2.573890511,4.494565217
2.06753983,4.08673913
2.03597074,3.074782609
1.381839447,3.032826087
1.58215098,4.219130435
1.734242929,3.463043478
3.112592593,4.254782609
2.003816027,4.88
2.984200648,3.693043478
2.660332141,3.492173913
2.762086471,3.563043478
1.619448225,3.245434783
1.661746149,4.884130435
2.606628557,5.158478261
1.981493119,5.278913043
1.829053091,3.153478261
2.180160194,4.020652174
1.823029806,2.664565217
1.987969902,4.68
1.814516472,3.199782609
1.768473074,3.782826087
1.578438532,3.576086957
1.202503929,4.117173913
2.313404138,3.872608696
2.078397838,4.142173913
2.0324061,4.802826087
3.624074343,5.027173913
1.998295423,4.457391304
2.345641677,3.005652174
2.24396836,4.188913043
1.913043478,4.001086957
-0.228951392,2.120652174
2.09223012,5.077826087
1.653952131,3.539782609
1.39911426,2.416086957
2.964079464,4.720652174
1.678864924,4.682391304
2.46162198,3.684565217
1.484465708,3.428913043
3.020674598,3.765434783
1.879033183,3.464782609
4.107027798,7.762391304
2.11100284,4.103695652
2.110446958,3.642826087
2.770091715,3.675434783
2.557619906,3.757608696
1.936895302,3.321304348
1.220188091,2.588478261
1.631515113,3.630869565
3.179725154,5.988695652
2.077815451,4.074130435
1.806015296,4.135652174
2.674256665,3.573695652
1.750562138,3.378478261
1.776792823,3.710652174
1.343930786,4.456086957
3.240350217,3.48173913
2.079984009,3.480434783
2.15310695,3.879347826
2.099329411,5.362608696
1.967972256,3.692391304
1.336345513,3.995652174
1.280692866,3.501304348
1.947428663,4.358695652
1.216823036,4.09826087
2.080716704,3.557826087
1.745626903,4.715
2.425975435,6.557826087
2.307012795,4.682826087
2.52081974,4.370217391
2.043594786,4.791304348
2.496362692,3.015217391
1.972593618,4.015652174
1.301946959,3.865652174
1.385901245,4.091521739
2.593671926,4.254347826
2.838656408,9.074130435
2.704274182,3.645434783
1.701663218,3.478043478
1.616979635,3.79
1.999030034,3.46326087
2.284327245,3.513695652
3.064959969,4.939565217
2.246036026,5.883913043
1.641186598,5.426521739
2.554958799,4.582826087
