Year,Mo,Dy,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Total Deaths
2003,4,29,"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,20,4.6,
2003,5,1,TURKEY:  BINGOL,39.007,40.464,10,6.4,177
2003,5,4,CHINA:  S. XINJIANG:  YOPURGA,39.43,77.219,10,5.8,1
2003,5,21,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,12,6.8,2287
2003,5,26,"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,68,7,
2003,5,26,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,31,7,1
2003,5,27,"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",36.939,3.578,8,5.7,9
2003,6,6,KENTUCKY:  BARDWELL,36.87,-88.98,3,4,
2003,6,9,"GREECE:  GONNOI, LARISA",39.893,22.309,18,5.2,
2003,6,20,"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",-30.608,-71.637,33,6.8,
2003,7,3,"IRAN:  NORTHEASTERN: YAKHAK, BASHIRABAD, BUTEHGAZ",35.476,60.784,41,5.2,
2003,7,10,IRAN:  SOUTHERN: GAJJIABAD,28.355,54.169,10,5.8,1
2003,7,15,INDIAN OCEAN:  FELT IN MALDIVES,-2.598,68.382,10,7.6,
2003,7,21,CHINA:  YUNNAN PROVINCE,25.975,101.29,10,5.9,16
2003,7,25,"JAPAN:  HONSHU:  MIYAGI, IWATE",38.432,141.003,10,5.5,
2003,7,26,TURKEY:  WESTERN:  BULDAN,38.111,28.887,10,4.5,
2003,7,26,TURKEY:  WESTERN:  BULDAN,38.019,28.927,10,5.4,
2003,7,26,BANGLADESH:  RANGAMATI,22.854,92.306,10,5.7,2
2003,8,4,SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS,-60.532,-43.411,10,7.6,
2003,8,11,INDONESIA:  HALMAHERA:  WASILE,1.142,128.152,10,6,
2003,8,13,"PANAMA:  COLON, PANAMA CITY",9.355,-79.941,54,5.4,
2003,8,14,"GREECE:  LEFKADA, PREVEZA",39.16,20.605,10,6.3,
